cohort_month,months_since_first,returning_customers,cohort_size,retention_rate
2018-08-01 00:00:00.000000 UTC,0,6351,6351,100.0
2018-07-01 00:00:00.000000 UTC,0,6159,6159,100.0
2018-06-01 00:00:00.000000 UTC,0,6099,6099,100.0
2018-05-01 00:00:00.000000 UTC,0,6749,6749,100.0
2018-04-01 00:00:00.000000 UTC,0,6798,6798,100.0
2018-03-01 00:00:00.000000 UTC,0,7003,7003,100.0
2018-02-01 00:00:00.000000 UTC,0,6555,6555,100.0
2018-01-01 00:00:00.000000 UTC,0,7069,7069,100.0
2017-12-01 00:00:00.000000 UTC,0,5513,5513,100.0
2017-11-01 00:00:00.000000 UTC,0,7289,7289,100.0
2017-10-01 00:00:00.000000 UTC,0,4478,4478,100.0
2017-09-01 00:00:00.000000 UTC,0,4150,4150,100.0
2017-08-01 00:00:00.000000 UTC,0,4193,4193,100.0
2017-07-01 00:00:00.000000 UTC,0,3872,3872,100.0
2017-06-01 00:00:00.000000 UTC,0,3135,3135,100.0
2017-05-01 00:00:00.000000 UTC,0,3546,3546,100.0
2017-04-01 00:00:00.000000 UTC,0,2303,2303,100.0
2017-03-01 00:00:00.000000 UTC,0,2546,2546,100.0
2017-02-01 00:00:00.000000 UTC,0,1653,1653,100.0
2017-01-01 00:00:00.000000 UTC,0,750,750,100.0
2016-12-01 00:00:00.000000 UTC,0,1,1,100.0
2016-10-01 00:00:00.000000 UTC,0,265,265,100.0
