cohort_month,months_since_first,returning_customers,cohort_size,retention_rate
2018-08-01 00:00:00.000000 UTC,0,6144,6144,100.0
2018-07-01 00:00:00.000000 UTC,0,5949,5949,100.0
2018-07-01 00:00:00.000000 UTC,1,31,5949,0.52
2018-06-01 00:00:00.000000 UTC,0,5878,5878,100.0
2018-06-01 00:00:00.000000 UTC,1,25,5878,0.43
2018-06-01 00:00:00.000000 UTC,2,16,5878,0.27
2018-05-01 00:00:00.000000 UTC,0,6506,6506,100.0
2018-05-01 00:00:00.000000 UTC,1,34,6506,0.52
2018-05-01 00:00:00.000000 UTC,2,17,6506,0.26
2018-05-01 00:00:00.000000 UTC,3,12,6506,0.18
2018-04-01 00:00:00.000000 UTC,0,6582,6582,100.0
2018-04-01 00:00:00.000000 UTC,1,39,6582,0.59
2018-04-01 00:00:00.000000 UTC,2,20,6582,0.3
2018-04-01 00:00:00.000000 UTC,3,16,6582,0.24
2018-04-01 00:00:00.000000 UTC,4,9,6582,0.14
2018-03-01 00:00:00.000000 UTC,0,6774,6774,100.0
2018-03-01 00:00:00.000000 UTC,1,27,6774,0.4
2018-03-01 00:00:00.000000 UTC,2,20,6774,0.3
2018-03-01 00:00:00.000000 UTC,3,20,6774,0.3
2018-03-01 00:00:00.000000 UTC,4,8,6774,0.12
2018-03-01 00:00:00.000000 UTC,5,8,6774,0.12
2018-02-01 00:00:00.000000 UTC,0,6288,6288,100.0
2018-02-01 00:00:00.000000 UTC,1,22,6288,0.35
2018-02-01 00:00:00.000000 UTC,2,25,6288,0.4
2018-02-01 00:00:00.000000 UTC,3,19,6288,0.3
2018-02-01 00:00:00.000000 UTC,4,16,6288,0.25
2018-02-01 00:00:00.000000 UTC,5,14,6288,0.22
2018-02-01 00:00:00.000000 UTC,6,13,6288,0.21
2018-01-01 00:00:00.000000 UTC,0,6842,6842,100.0
2018-01-01 00:00:00.000000 UTC,1,23,6842,0.34
2018-01-01 00:00:00.000000 UTC,2,25,6842,0.37
2018-01-01 00:00:00.000000 UTC,3,20,6842,0.29
2018-01-01 00:00:00.000000 UTC,4,20,6842,0.29
2018-01-01 00:00:00.000000 UTC,5,11,6842,0.16
2018-01-01 00:00:00.000000 UTC,6,12,6842,0.18
2018-01-01 00:00:00.000000 UTC,7,16,6842,0.23
2017-12-01 00:00:00.000000 UTC,0,5338,5338,100.0
